0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1760;-44.25;4.75;18;28;27;52;8;19;19;7;3;4;10;15;10;6;12;12;12;16;16;10;13;9;1;2;0;17;7;10;1;6;4;2;4;10;13;17
1761;-43.75;4.75;57;26;24;52;10;13;20;9;5;22;9;18;10;10;9;9;10;14;24;8;8;15;7;0;0;23;4;16;3;5;6;3;8;19;10;9
1762;-43.25;4.75;36;27;19;35;1;14;19;9;2;5;4;13;7;11;4;100;9;18;34;15;4;15;3;0;1;16;5;3;2;6;1;2;43;33;4;14
1763;-42.75;4.75;12;21;15;93;11;20;24;39;4;6;4;15;6;5;11;184;18;16;21;5;12;16;7;2;0;12;7;6;1;6;4;6;29;25;3;13
1764;-42.25;4.75;18;26;33;143;4;20;30;9;6;8;7;13;17;9;4;79;16;18;14;7;10;15;8;4;6;11;4;8;1;8;2;1;6;22;10;7
1765;-41.75;4.75;15;24;23;152;4;10;27;11;4;2;4;9;7;2;13;43;15;12;14;7;14;1;1;2;1;19;7;12;1;6;17;2;8;28;29;11
1766;-41.25;4.75;24;32;27;95;7;14;20;8;6;2;4;13;83;2;3;30;26;10;18;4;31;5;2;1;1;21;6;17;3;3;9;4;11;43;44;4
1767;-40.75;4.75;11;23;61;78;4;16;27;63;4;2;4;12;81;3;9;5;49;20;23;15;21;4;2;2;1;18;5;54;5;4;8;2;10;5;3;37
1768;-40.25;4.75;21;13;29;108;6;5;16;21;7;3;1;6;26;6;9;32;11;11;11;29;32;1;2;0;5;26;15;102;2;10;13;4;9;2;7;5
1769;-39.75;4.75;35;18;95;44;9;13;14;10;2;2;8;10;21;6;6;9;11;13;9;19;31;2;8;1;5;22;7;66;2;8;2;3;0;2;5;6
1770;-39.25;4.75;66;11;53;92;10;12;23;11;5;3;10;13;34;8;11;15;17;13;9;9;20;10;16;3;5;15;7;106;4;2;5;3;2;4;38;4
1771;-38.75;4.75;19;10;66;95;7;15;22;15;9;2;2;4;17;7;9;19;14;11;16;7;15;2;7;4;4;17;14;58;2;8;3;7;3;0;49;11
1823;-62.25;4.25;26;638;1449;218;85;362;861;1485;694;227;2082;523;18;551;316;9;111;215;257;531;214;359;822;467;12;298;893;338;27;655;302;416;434;284;591;461
1824;-61.75;4.25;18;933;2053;161;26;241;416;1044;525;253;1938;442;13;270;308;3;80;124;146;551;264;562;920;354;3;117;545;210;8;316;173;340;577;373;572;460
1825;-61.25;4.25;10;1360;2899;87;42;190;258;631;340;439;2005;393;3;171;226;3;37;65;100;1001;344;379;1824;298;4;240;450;154;5;75;239;820;358;699;1198;487
1826;-60.75;4.25;15;1090;508;25;65;31;86;416;270;171;1207;301;8;63;148;11;32;15;28;142;117;166;1015;288;0;152;752;18;2;25;331;516;409;669;1099;724
1827;-60.25;4.25;12;613;480;29;29;12;28;91;126;138;697;147;10;54;170;9;16;9;20;31;86;57;474;117;5;248;496;4;2;16;330;115;209;406;420;458
1828;-59.75;4.25;10;384;236;14;10;16;28;193;164;117;681;100;10;26;11;6;13;8;21;27;81;71;235;30;2;73;371;6;0;12;48;23;61;267;209;211
1829;-59.25;4.25;10;522;174;23;11;19;34;166;231;221;718;212;13;28;4;7;15;5;14;46;218;174;537;108;2;193;270;27;6;22;54;143;166;575;568;124
1830;-58.75;4.25;9;1303;449;43;2;41;74;327;400;280;543;277;8;49;14;4;19;19;20;125;222;201;1468;88;2;126;404;42;7;33;76;341;444;543;1062;132
1831;-58.25;4.25;11;755;800;59;1;43;59;79;260;262;837;358;7;46;13;1;18;17;26;145;259;541;1494;256;0;81;530;39;2;29;87;182;259;687;738;309
1832;-57.75;4.25;8;501;847;83;2;45;55;95;238;178;1443;413;8;254;17;2;28;16;26;116;382;729;1422;997;5;58;211;37;17;102;183;192;503;559;1130;305
1833;-57.25;4.25;8;232;550;162;4;34;32;121;141;150;1032;378;12;60;23;6;36;10;47;194;121;455;716;533;1;64;326;42;0;15;44;139;349;519;802;328
1834;-56.75;4.25;10;80;212;122;10;73;33;450;218;102;306;164;16;31;21;6;25;21;91;123;120;194;250;201;3;49;123;27;1;12;59;164;307;458;210;184
1835;-56.25;4.25;5;60;278;80;6;38;152;971;296;228;184;70;19;40;40;4;42;18;130;127;132;201;282;77;2;17;79;68;1;7;164;312;246;322;127;125
